Epoch	Sell	Buy	Hold	AverageEpProfit	StdEpProfit	MaxEpProfit	MinEpProfit	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpProfit	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	16.0	317.0	0.0	95.44444	5348.2666	12703.0	-7223.0	-74.801544	541.8921	1210.369	-807.999	-422.49103	3.0517578e-05	-422.491	-422.491	111.0	-2431.0	111.0	999	-1499.3684	1396.5072	855.9383	-6349.2065	1494.5099	3089123.2	3.440506935119629
2	17.0	316.0	0.0	4893.0	6009.667	16348.0	-3888.0	418.67612	613.0568	1593.818	-467.921	-422.49103	3.0517578e-05	-422.491	-422.491	111.0	-2431.0	111.0	1999	-1008.9869	626.05316	452.92584	-4250.441	1008.2322	459291.97	9.613982915878296
3	16.0	317.0	0.0	-1327.5555	4479.962	6110.0	-10236.0	-208.2479	440.0779	537.751	-1047.646	-663.41003	6.1035156e-05	-663.41	-663.41	103.55556	-4811.0	111.0	2999	-826.4491	511.9122	701.2012	-2595.9226	825.91327	45548.33	14.317917823791504
4	1.0	332.0	0.0	1496.1111	3497.5515	6866.0	-5949.0	73.93278	358.13644	623.536	-683.968	-653.18005	6.1035156e-05	-653.18	-653.18	111.0	-4700.0	111.0	3999	-731.0461	451.68436	830.37225	-2544.6553	730.47424	29288.688	21.431468963623047
5	1.0	332.0	0.0	2325.4443	3622.8167	7129.0	-2908.0	155.76642	370.3267	646.166	-387.875	-653.18005	6.1035156e-05	-653.18	-653.18	111.0	-4700.0	111.0	4999	-634.79	417.16678	869.85114	-2376.584	634.2475	19996.408	26.668572902679443
6	2.0	331.0	0.0	-1631.4445	3010.7915	3359.0	-6677.0	-252.38756	314.3724	261.793	-782.384	-653.18005	6.1035156e-05	-653.18	-653.18	111.0	-4700.0	111.0	5999	-587.8212	382.6717	866.65857	-2195.6838	587.2749	15649.325	32.47636294364929
7	1.0	332.0	0.0	313.8889	4905.707	9490.0	-6757.0	-54.68299	506.52313	878.029	-780.988	-653.18005	6.1035156e-05	-653.18	-653.18	111.0	-4700.0	111.0	6999	-553.8036	354.27658	895.62305	-1925.628	553.2625	12318.012	41.43649482727051
8	1.0	332.0	0.0	1804.0	7513.385	17972.0	-6738.0	103.09799	761.66785	1753.137	-761.772	-653.18005	6.1035156e-05	-653.18	-653.18	111.0	-4700.0	111.0	7999	-505.8138	329.15607	904.9306	-1635.851	505.26526	10230.094	51.51743698120117
9	1.0	332.0	0.0	373.0	2123.7603	4589.0	-3050.0	-44.147995	218.25648	393.126	-397.734	-653.18005	6.1035156e-05	-653.18	-653.18	111.0	-4700.0	111.0	8999	-451.7481	311.01468	1301.9219	-1454.1936	451.1866	8501.472	58.645771980285645
10	1.0	332.0	0.0	-1699.4445	4551.893	8759.0	-9232.0	-254.09564	463.235	809.636	-1023.775	-653.18005	6.1035156e-05	-653.18	-653.18	111.0	-4700.0	111.0	9999	-411.0793	283.35165	1219.1249	-1333.5684	410.5102	7143.454	67.04054713249207
