,prices,preds
0,16.1,0
1,16.05,0
2,15.87,0
3,16.09,0
4,15.5,0
5,15.57,0
6,15.44,0
7,16.17,0
8,16.39,1
9,16.14,0
10,16.6,1
11,16.15,1
12,16.33,0
13,16.68,1
14,16.56,1
15,16.15,1
16,16.34,0
17,16.53,1
18,16.58,1
19,16.6,1
20,16.6,0
21,16.78,1
22,16.89,1
23,16.88,1
24,16.8,1
25,16.87,1
26,16.76,1
27,16.69,0
28,16.7,0
29,16.72,0
30,16.6,0
31,16.36,0
32,16.67,0
33,16.79,1
34,16.77,0
35,16.76,1
36,16.66,0
37,16.76,0
38,16.74,1
39,16.65,0
40,17.05,0
41,16.95,1
42,16.95,0
43,17.1,1
44,17.3,1
45,17.18,1
46,16.9,0
47,16.9,0
48,16.82,1
49,16.8,0
50,16.98,0
51,17.4,0
52,17.37,1
53,17.34,0
54,17.49,1
55,17.39,1
56,17.84,1
57,17.63,1
58,17.4,0
59,17.27,1
60,17.24,0
61,17.16,0
62,16.3,0
63,16.01,0
64,16.5,0
65,16.65,0
66,16.3,0
67,16.3,0
68,16.53,0
69,16.68,1
70,16.6,1
71,16.7,0
72,16.5,1
73,16.55,0
74,16.49,1
75,16.3,0
76,16.5,0
77,16.71,1
78,16.58,1
79,16.65,0
80,16.12,1
81,16.15,0
82,16.15,1
83,15.86,0
84,16.3,0
85,16.35,1
86,16.21,0
87,16.08,0
88,16.3,0
89,16.4,1
90,16.33,1
91,16.08,0
92,15.85,0
93,15.65,0
94,15.55,0
95,15.96,0
96,16.0,1
97,15.65,0
98,15.58,0
99,15.51,0
100,15.68,0
101,15.54,1
102,15.76,0
103,16.03,1
104,16.0,1
105,16.3,1
106,16.32,1
107,16.09,1
108,16.07,1
109,15.67,0
110,15.7,0
111,15.6,1
112,15.71,0
113,16.02,1
114,16.2,1
115,16.63,1
116,16.81,1
117,16.67,1
118,16.47,1
119,16.72,1
120,16.6,1
121,16.46,1
122,16.4,0
123,16.4,0
124,15.67,1
125,15.66,0
126,15.67,0
127,15.33,0
128,15.46,0
129,15.55,0
130,15.7,0
131,15.87,1
132,15.83,0
133,15.69,1
134,15.72,0
135,15.9,0
136,16.14,1
137,16.3,1
138,16.38,1
139,16.31,1
140,16.25,1
141,16.62,1
142,16.55,1
143,16.55,1
144,16.33,1
145,16.3,0
146,15.96,1
147,15.97,0
148,16.23,0
149,16.35,1
150,16.0,1
151,15.76,0
152,15.7,0
153,15.93,0
154,15.8,1
155,15.47,0
156,16.05,0
157,16.23,1
158,15.95,1
159,16.18,0
160,16.4,1
161,16.44,1
162,16.39,1
163,16.5,0
164,16.36,1
165,16.41,0
166,16.16,1
167,16.04,0
168,15.6,0
169,15.97,0
170,16.2,1
171,16.62,0
172,16.44,1
173,16.14,0
174,16.1,0
175,15.71,0
176,16.07,0
177,16.13,1
178,15.77,0
179,15.55,0
180,16.07,0
181,15.91,1
182,15.59,0
183,15.53,0
184,15.2,0
185,15.71,0
186,15.65,1
187,15.62,0
188,15.63,1
189,15.71,0
190,16.4,1
191,16.2,1
192,16.35,0
193,16.35,1
194,16.29,0
195,16.44,1
196,16.32,1
197,16.0,1
198,16.37,0
199,16.0,1
200,15.82,0
201,15.87,0
202,16.18,0
203,16.54,1
204,17.13,1
205,16.87,1
206,16.83,1
207,16.64,1
208,16.56,0
209,16.85,1
210,16.01,1
211,15.7,0
212,15.76,0
213,15.71,0
214,16.0,0
215,15.75,0
216,15.68,0
217,15.8,0
218,15.99,0
219,15.5,1
220,15.43,0
221,15.45,0
222,15.82,0
223,15.82,1
224,15.95,0
225,16.35,1
226,16.37,1
227,16.22,1
228,16.37,1
