,prices,preds
0,14.3,1
1,14.35,0
2,14.79,1
3,14.45,1
4,14.08,0
5,14.02,0
6,14.02,0
7,13.75,1
8,13.64,0
9,13.77,0
10,13.1,1
11,13.27,0
12,12.96,1
13,13.3,0
14,13.53,1
15,13.62,0
16,14.03,1
17,14.0,1
18,13.72,1
19,13.73,1
20,13.47,1
21,13.29,0
22,13.4,0
23,13.36,0
24,13.4,0
25,13.64,1
26,13.28,1
27,12.9,0
28,13.33,0
29,12.99,1
30,12.71,0
31,12.93,0
32,12.7,0
33,12.48,0
34,12.48,0
35,12.58,0
36,12.41,1
37,12.1,0
38,12.02,0
39,12.37,0
40,12.8,1
41,13.43,1
42,13.5,1
43,13.94,1
44,14.05,1
45,13.78,1
46,14.82,1
47,15.01,1
48,14.96,1
49,15.05,1
50,15.66,1
51,15.05,1
52,14.9,0
53,15.85,1
54,15.4,1
55,15.23,1
56,15.17,1
57,15.61,0
58,15.36,1
59,14.83,0
60,15.08,0
61,15.63,1
62,15.24,1
63,15.22,0
64,15.29,1
65,15.12,1
66,15.65,1
67,15.75,1
68,15.63,1
69,16.22,1
70,16.4,1
71,17.05,1
72,17.4,1
73,16.82,1
74,16.66,1
75,17.08,1
76,17.04,1
77,17.33,1
78,17.03,1
79,16.9,0
80,16.83,1
81,16.24,0
82,16.46,0
83,16.56,1
84,16.6,0
85,16.78,1
86,16.41,1
87,16.55,0
88,16.23,1
89,15.74,0
90,15.66,0
91,15.96,0
92,15.75,1
93,15.48,0
94,16.67,0
95,16.9,1
96,17.17,1
97,17.67,1
98,17.85,1
99,17.63,1
100,17.29,1
101,17.92,0
102,17.56,1
103,17.25,0
104,16.79,0
105,16.23,0
106,16.2,0
107,16.05,0
108,16.24,0
109,16.05,1
110,16.09,0
111,16.34,1
112,16.33,1
113,16.11,1
114,16.14,0
115,16.98,1
116,17.0,1
117,17.66,1
118,17.75,1
119,17.85,1
120,18.18,1
121,19.17,1
122,19.47,1
123,19.48,1
124,19.01,1
125,19.01,0
126,19.24,1
127,18.96,1
128,18.43,0
129,18.68,0
130,17.99,1
131,17.82,0
132,18.27,0
133,18.37,1
134,19.04,1
135,18.8,1
136,18.14,0
137,18.77,0
138,18.46,1
139,17.51,0
140,17.48,0
141,18.84,0
142,19.08,1
143,19.69,1
144,20.12,1
145,20.1,1
146,19.72,1
147,20.75,0
148,20.65,1
149,21.62,1
150,21.45,1
151,22.14,0
152,22.48,1
153,23.29,1
154,22.78,1
155,21.7,0
156,21.73,0
157,20.69,0
158,20.39,0
159,19.9,0
160,20.13,0
161,19.12,1
162,19.46,0
163,20.31,1
164,20.86,1
165,20.21,1
166,19.85,0
167,19.4,0
168,19.06,0
169,19.09,0
170,18.82,0
171,19.82,0
172,17.75,1
173,17.25,0
174,16.4,0
175,16.59,0
176,17.5,1
177,19.2,1
178,19.95,1
179,19.58,1
180,19.96,1
181,18.87,1
182,20.75,0
183,20.42,1
184,19.02,0
185,17.64,0
186,18.18,0
187,17.12,1
188,16.19,0
189,16.05,0
190,15.05,0
191,15.7,0
192,13.92,1
193,14.51,0
194,13.53,1
195,13.78,0
196,14.65,1
197,14.25,0
198,14.25,1
199,13.86,1
200,13.55,0
201,13.77,1
202,13.41,0
203,13.49,0
204,13.54,1
205,13.13,0
206,12.78,0
207,12.13,0
208,11.94,0
209,12.26,0
210,13.63,0
211,13.43,1
212,13.28,1
213,13.27,1
214,12.75,1
215,12.15,0
216,11.51,0
217,11.4,0
218,12.0,0
219,11.43,1
220,11.45,0
221,10.72,0
222,10.55,0
223,10.11,0
224,10.04,0
225,9.46,0
226,8.52,0
227,8.7,0
228,9.04,0
229,9.02,0
230,9.44,0
231,9.91,1
