,prices,preds
0,31.79,0
1,31.08,0
2,31.81,0
3,30.93,1
4,31.25,0
5,31.12,1
6,31.75,0
7,33.1,1
8,32.5,1
9,33.05,0
10,32.13,1
11,32.67,0
12,33.5,1
13,34.26,1
14,34.05,1
15,33.64,1
16,34.49,1
17,34.46,1
18,34.32,0
19,34.84,1
20,34.49,1
21,34.57,0
22,34.92,1
23,34.52,1
24,34.61,0
25,33.67,1
26,32.51,0
27,32.52,0
28,33.01,0
29,33.0,0
30,31.85,0
31,31.75,0
32,30.55,1
33,30.04,0
34,29.55,0
35,30.11,0
36,29.3,1
37,29.26,0
38,29.31,1
39,29.81,0
40,29.61,1
41,29.88,0
42,30.43,1
43,30.58,1
44,30.82,1
45,30.47,1
46,31.11,0
47,31.01,1
48,31.42,0
49,31.36,1
50,32.53,0
51,32.91,1
52,32.48,1
53,33.34,1
54,33.26,1
55,32.98,0
56,32.8,1
57,32.97,0
58,32.89,1
59,30.94,0
60,31.08,0
61,31.65,1
62,30.71,0
63,30.29,0
64,30.79,0
65,30.32,0
66,29.59,0
67,29.78,0
68,29.4,0
69,30.2,0
70,30.11,1
71,29.82,0
72,29.97,1
73,29.47,1
74,29.22,0
75,30.6,0
76,30.65,1
77,31.39,0
78,31.1,1
79,30.4,0
80,29.47,1
81,28.86,0
82,28.89,0
83,29.34,0
84,29.26,0
85,29.6,0
86,29.09,1
87,29.09,0
88,29.34,1
89,28.4,0
90,29.14,0
91,28.85,1
92,28.92,0
93,28.78,1
94,29.37,0
95,29.63,1
96,29.44,1
97,29.64,1
98,28.6,1
99,28.42,0
100,28.45,1
101,28.85,0
102,28.77,1
103,29.11,0
104,28.71,1
105,28.66,0
106,29.34,1
107,29.06,1
108,29.24,0
109,29.65,1
110,30.44,1
111,31.04,1
112,31.22,1
113,30.8,1
114,30.81,1
115,30.8,1
116,30.7,0
117,30.86,1
118,31.06,1
119,31.92,1
120,31.48,1
121,31.45,0
122,31.56,1
123,31.87,0
124,31.73,1
125,32.34,0
126,32.38,1
127,32.82,0
128,32.92,1
129,32.22,1
130,32.55,0
131,31.77,1
132,32.14,0
133,31.62,1
134,31.8,0
135,31.6,1
136,31.61,0
137,31.84,1
138,32.01,1
139,31.34,1
140,30.59,0
141,31.0,0
142,31.24,1
143,31.25,0
144,31.77,1
145,31.56,1
146,31.37,0
147,31.17,1
148,31.02,0
149,30.68,0
150,29.33,0
151,29.12,0
152,28.95,0
153,28.75,0
154,29.0,0
155,28.68,0
156,28.25,0
157,28.1,0
158,28.61,0
159,28.4,1
160,28.36,0
161,28.62,1
162,29.11,1
163,29.15,1
164,29.06,1
165,29.09,1
166,28.32,1
167,27.28,0
168,27.55,0
169,27.64,0
170,27.35,0
171,26.97,0
172,26.54,0
173,26.85,0
174,26.83,1
175,27.61,0
176,27.2,1
177,27.34,0
178,27.4,1
179,27.37,0
180,26.9,1
181,26.25,0
182,27.49,0
183,28.31,1
184,28.3,1
185,27.38,1
186,26.62,0
187,26.35,0
188,26.76,0
189,26.76,1
190,27.25,0
191,27.45,1
192,26.35,1
193,26.14,0
194,24.76,1
195,23.7,0
196,25.0,0
197,24.9,1
198,24.11,0
199,24.0,0
200,23.65,0
201,24.02,0
202,23.3,1
203,22.57,0
204,22.52,0
205,22.46,0
206,23.0,0
207,22.93,1
208,22.03,0
209,22.16,0
210,23.59,1
211,23.7,1
212,23.96,1
213,23.04,1
214,22.98,0
215,23.3,1
216,22.22,0
217,21.65,0
218,21.95,0
219,21.67,0
220,21.88,0
221,21.18,1
222,20.7,0
223,19.93,1
224,19.37,0
225,18.91,0
226,18.69,0
227,19.35,1
228,19.71,1
229,19.96,1
230,21.57,1
231,21.37,1
